Municipio,Defunciones Generales
Santa María Tepantlali ,14.0
San Carlos Yautepec,65.0
Santiago Suchilquitongo,49.0
Zapotitlán Palmas ,18.0
Santiago Ixcuintepec ,10.0
Mártires de Tacubaya ,7.0
Santiago Zoochila ,5.0
Santiago Astata ,30.0
San Juan Yaeé ,19.0
San Miguel Tequixtepec ,9.0
San Juan Lachigalla,23.0
Santiago Lalopa ,5.0
San Juan Ozolotepec,16.0
Santiago Xanica ,13.0
Santa Catarina Zapoquila ,5.0
San Pedro Jicayán,68.0
San Miguel Tilquiápam ,22.0
Santa Catarina Quioquitani ,1.0
San Pedro Totolápam ,17.0
Santiago del Río ,18.0
San Juan Achiutla ,5.0
San Juan Lalana,128.0
405 Villa de Chilapa de Díaz ,20.0
Chiquihuitlán de Benito Juárez ,51.0
Santa María Alotepec ,30.0
San Juan Quiotepec,22.0
San Pablo Huixtepec,63.0
Tlalixtac de Cabrera,55.0
Santa Cruz Xitla ,49.0
San Miguel del Río ,4.0
Asunción Cacalotepec ,20.0
Santa Ana Cuauhtémoc ,5.0
San Pedro Mixtepec ,0.0
Santo Domingo Yodohino ,8.0
San Mateo Piñas ,16.0
San Pedro Nopala ,8.0
San Martín Toxpalan ,24.0
San Andrés Zautla ,26.0
Santa María Colotepec,98.0
San Cristóbal Suchixtlahuaca ,5.0
Villa de Tututepec de Melchor Ocampo,319.0
San Antonino el Alto ,19.0
San Pedro Juchatengo ,7.0
San Antonino Castillo Velasco,41.0
Mesones Hidalgo ,22.0
Heroica Ciudad de Huajuapan de León,378.0
San Agustín Loxicha ,146.0
San Andrés Cabecera Nueva ,15.0
Santiago Yucuyachi ,11.0
San Juan Lajarcia,4.0
San Agustín Etla ,19.0
Santo Domingo Zanatepec,98.0
Santa Catarina Yosonotú ,20.0
Santiago Xiacuí ,12.0
San Marcial Ozolotepec ,13.0
San Juan Petlapa,14.0
San Juan Sayultepec,5.0
San Juan Bautista Guelache,32.0
Santiago Laollaga ,26.0
San Lorenzo Texmelúcan ,32.0
Heroica Ciudad de Tlaxiaco,209.0
San Dionisio Ocotlán ,5.0
Santo Domingo Ozolotepec ,4.0
Pinotepa de Don Luis,58.0
Santiago Tapextla ,23.0
San Juan del Río,12.0
San Juan Quiahije,26.0
Capulálpam de Méndez ,12.0
San Bartolomé Quialana ,15.0
Santa María Yosoyúa ,13.0
Chalcatongo de Hidalgo,62.0
Santo Domingo Petapa,63.0
San Mateo Cajonos ,3.0
San Miguel Amatitlán,38.0
San Miguel Santa Flor ,23.0
Santiago Llano Grande ,23.0
Santos Reyes Tepejillo ,8.0
Santa María Totolapilla ,4.0
San Jerónimo Sosola ,23.0
San Andrés Zabache ,9.0
Santo Domingo Tehuantepec,441.0
Santa Ana del Valle,18.0
San Sebastián Tutla,54.0
San Juan Bautista Atatlahuca,24.0
Santiago Tenango ,15.0
San José Estancia Grande ,7.0
San Dionisio del Mar,34.0
San Martín Peras ,62.0
Santa María Zacatepec,102.0
Santiago Tamazola ,34.0
San Agustín Chayuco ,30.0
San Baltazar Yatzachi el Bajo ,9.0
Eloxochitlán de Flores Magón ,33.0
San Pedro Huamelula,86.0
San José Tenango ,137.0
San Pedro Mártir Yucuxaco ,14.0
Santa María Zaniza ,11.0
San Jorge Nuchita ,29.0
San Agustín Atenango ,19.0
Tamazulápam del Espíritu Santo,41.0
San Bartolomé Loxicha ,18.0
San Juan Juquila Mixes,46.0
San Sebastián Ixcapa ,37.0
San Juan Mixtepec,19.0
San Miguel Amatlán ,4.0
Santa María Ecatepec ,23.0
Zapotitlán Lagunas ,25.0
Santa María Pápalo ,22.0
San Andrés Dinicuiti ,27.0
Santa María Atzompa,137.0
Santo Domingo Ingenio,52.0
Santiago Camotlán ,12.0
Santo Tomás Mazaltepec ,25.0
Teotitlán de Flores Magón,70.0
Asunción Cuyotepeji ,9.0
Asunción Ocotlán ,20.0
Trinidad Zaachila ,16.0
San Francisco Cahuacuá ,19.0
Cosolapa,114.0
San Pedro Yólox ,18.0
Santa Cruz Zenzontepec ,77.0
Santiago Cacaloxtepec ,21.0
San Pedro Ocotepec ,10.0
Natividad ,7.0
San Pedro Quiatoni ,52.0
San Miguel Aloápam ,23.0
Teotongo,8.0
San Miguel Tlacotepec ,34.0
San Francisco Cajonos ,1.0
Santa María Jaltianguis ,5.0
Santiago Amoltepec ,67.0
Valerio Trujano ,17.0
Santiago Tilantongo ,24.0
Magdalena Yodocono de Porfirio Díaz ,10.0
Santa María Huazolotitlán  ,64.0
San Pedro Coxcaltepec Cántaros ,7.0
San Antonio de la Cal,70.0
San Antonio Nanahuatípam ,13.0
San Francisco Telixtlahuaca,66.0
San Ildefonso Amatlán ,13.0
San José Ayuquila ,8.0
San Jacinto Amilpas,70.0
San José del Progreso,56.0
San Esteban Atatlahuca ,31.0
San Pedro Sochiápam ,19.0
San Vicente Nuñú ,6.0
San Pablo Macuiltianguis ,7.0
San Pedro Huilotepec ,19.0
San Cristóbal Amatlán ,33.0
Santiago Choápam ,28.0
San Juan Atepec ,20.0
San Juan Bautista Suchitepec,4.0
Santo Domingo Albarradas ,4.0
San Miguel Tlacamama ,17.0
San Andrés Lagunas ,7.0
Ayotzintepec,37.0
San Lorenzo Victoria ,4.0
Magdalena Tequisistlán,48.0
San Miguel Ejutla ,7.0
Concepción Buenavista ,7.0
San Pedro Yaneri ,6.0
San Bartolo Coyotepec,67.0
Santa Lucía Miahuatlán ,13.0
San José del Peñasco ,12.0
Ocotlán de Morelos,195.0
San Miguel Huautla ,13.0
San Pedro Ixtlahuaca,49.0
Santa María Coyotepec ,13.0
Yogana ,19.0
Santo Domingo Nuxaá ,24.0
San Jerónimo Tlacochahuaya,33.0
Heroica Ciudad de Ejutla de Crespo,178.0
San Lorenzo Albarradas ,22.0
San Pablo Coatlán ,33.0
San Simón Zahuatlán ,13.0
San Bartolomé Yucuañe ,7.0
Santa Catarina Minas ,12.0
Santiago Chazumba,58.0
San Felipe Jalapa de Díaz ,208.0
San Pablo Cuatro Venados ,6.0
Santa María Ozolotepec ,29.0
San Miguel Tecomatlán ,5.0
San Miguel Piedras ,12.0
San Juan Ihualtepec,7.0
Santa María del Rosario ,4.0
San Jerónimo Taviche ,7.0
San Pedro Teozacoalco ,18.0
San Simón Almolongas ,27.0
San Juan Bautista Tuxtepec,1076.0
Santa María la Asunción ,34.0
San Francisco Sola ,9.0
Huautla de Jiménez,300.0
San Felipe Usila ,62.0
San Martín Tilcajete ,11.0
San Pedro Ixcatlán,85.0
Magdalena Tlacotepec ,12.0
San Andrés Tepetlapa ,3.0
Santa Cruz Mixtepec ,40.0
Santa María Cortijo ,4.0
Santa María Chachoápam ,7.0
Santiago Minas ,11.0
Asunción Nochixtlán,117.0
San Pedro Pochutla,290.0
Santo Domingo Yanhuitlán ,18.0
San Antonio Huitepec ,25.0
Acatlán de Pérez Figueroa,353.0
San Miguel Tulancingo ,7.0
Cosoltepec ,17.0
Santos Reyes Yucuná ,3.0
Santa Cruz Amilpas,53.0
Abejones ,10.0
Magdalena Ocotlán ,3.0
Santiago Matatlán,77.0
Taniche ,9.0
San Juan Tabaá,18.0
Guelatao de Juárez,4.0
Santiago Jamiltepec,160.0
Santiago Yolomécatl ,17.0
San Pedro el Alto ,23.0
San Pedro y San Pablo Ayutla ,56.0
San Juan Teposcolula,34.0
San Lorenzo Cuaunecuiltitla ,8.0
San Francisco Tlapancingo ,6.0
El Espinal,78.0
San Martín Huamelúlpam ,12.0
Santa Ana Zegache ,23.0
Santa María Quiegolani ,14.0
Santo Domingo Ixcatlán ,4.0
Chahuites,72.0
San Agustín Yatareni ,24.0
San Bartolomé Zoogocho ,3.0
San Pedro Yucunama ,1.0
San Mateo Peñasco ,15.0
Monjas ,17.0
Zimatlán de Álvarez,167.0
San Vicente Coatlán ,26.0
Santa Inés de Zaragoza ,20.0
Santiago Apóstol ,36.0
San Juan Tamazola,18.0
Mazatlán Villa de Flores ,97.0
San Pablo Yaganiza ,8.0
La Trinidad Vista Hermosa ,1.0
San Blas Atempa,128.0
Reforma de Pineda ,25.0
Santa María del Tule,42.0
Magdalena Teitipac ,25.0
Santo Tomás Ocotepec ,33.0
San Andrés Ixtlahuaca ,15.0
Santiago Jocotepec,63.0
"Heroica Villa Tezoatlán de Segura y Luna, Cuna de la Independencia de Oaxaca",102.0
Ixtlán de Juárez,66.0
San Sebastián Abasolo ,20.0
Silacayoápam,70.0
San Martín Itunyoso ,14.0
San Sebastián Tecomaxtlahuaca,69.0
Heroica Ciudad de Juchitán de Zaragoza,619.0
San Juan Lachao,20.0
San Raymundo Jalpan ,12.0
Santo Domingo de Morelos ,65.0
San Mateo Yoloxochitlán ,19.0
San Lucas Zoquiápam ,57.0
Magdalena Zahuatlán ,7.0
Mariscala de Juárez ,35.0
Santa María Zoquitlán ,20.0
San Juan Cacahuatepec,46.0
San Jerónimo Tecóatl ,15.0
San Juan Yucuita ,7.0
San Andrés Nuxiño ,8.0
Santa Ana Yareni ,13.0
Villa de Zaachila,187.0
San Francisco Jaltepetongo ,16.0
Santa Magdalena Jicotlán ,1.0
Magdalena Peñasco ,22.0
Santa Lucía Monteverde,41.0
Santa María Sola ,12.0
Santa Ana Tavela ,14.0
Santiago Nejapilla ,2.0
Santiago Yaveo,38.0
Santo Tomás Jalieza,11.0
Tataltepec de Valdés ,22.0
San Miguel Tenango ,9.0
Yaxe ,19.0
Santa Lucía del Camino,202.0
Santiago Nundiche ,10.0
San Pedro Teutila ,36.0
San Francisco Lachigoló ,17.0
Coicoyán de las Flores ,50.0
Magdalena Jaltepec ,43.0
San Juan Bautista Coixtlahuaca,29.0
San Juan Evangelista Analco ,6.0
San Mateo Sindihui ,12.0
San Pedro Jocotipac ,5.0
Villa Talea de Castro ,16.0
Santa Cruz Xoxocotlán,408.0
Santa María Xadani,47.0
San Juan Cotzocón,155.0
San Jerónimo Silacayoapilla ,14.0
Nuevo Zoquiápam ,21.0
Teococuilco de Marcos Pérez ,10.0
San Juan Bautista Tlachichilco,10.0
Santiago Juxtlahuaca,196.0
Guadalupe Etla ,18.0
Santo Domingo Chihuitán ,20.0
San Pedro y San Pablo Tequixtepec ,29.0
Huautepec ,45.0
Santo Domingo Tonaltepec ,2.0
San Jacinto Tlacotepec ,22.0
San Agustín de las Juntas,38.0
Santa María Tataltepec ,3.0
Miahuatlán de Porfirio Díaz,319.0
Santa María Nduayaco ,3.0
Santo Domingo Roayaga ,6.0
San Antonio Acutla ,4.0
Santa Inés Yatzeche ,11.0
Cuyamecalco Villa de Zaragoza ,39.0
San Miguel Ahuehuetitlán,16.0
San Agustín Amatengo ,11.0
Teotitlán del Valle,39.0
Santiago Niltepec,59.0
San Mateo del Mar ,72.0
San Pedro Jaltepetongo ,6.0
Santa Cruz Itundujia,74.0
Santa Lucía Ocotlán ,22.0
San Ildefonso Villa Alta ,54.0
Santa Catarina Mechoacán ,37.0
San Juan Chilateca,11.0
San Juan Bautista Tlacoatzintepec,9.0
Santiago Miltepec ,5.0
San Andrés Huaxpaltepec,35.0
San Pedro Tapanatepec,84.0
San Bartolo Yautepec ,4.0
San Antonio Sinicahua ,9.0
San Cristóbal Amoltepec ,8.0
Magdalena Mixtepec ,7.0
Santa María Guelacé ,3.0
San Sebastián Teitipac ,14.0
Santa Cruz Tacache de Mina ,31.0
Santiago Apoala ,13.0
San Pedro Comitancillo ,29.0
Santa Cruz Nundaco ,24.0
San Andrés Sinaxtla,8.0
San Pedro Topiltepec ,3.0
San Juan Juquila Vijanos,13.0
Asunción Tlacolulita ,12.0
San Juan Bautista Lo de Soto,13.0
Santa Catarina Quiané ,12.0
Tanetze de Zaragoza ,15.0
La Reforma,21.0
San Miguel Suchixtepec ,19.0
Santa María Tecomavaca ,12.0
Guevea de Humboldt,28.0
San José Independencia ,29.0
San Antonio Tepetlapa,27.0
Santa Ana ,12.0
San Agustín Tlacotepec ,10.0
San Martín Zacatepec ,18.0
Santa María Tlalixtac ,10.0
Santa Cruz Acatepec ,11.0
Santa Cruz Tacahua ,14.0
San Pedro Mártir ,13.0
Santiago Laxopa ,14.0
Santa Cruz de Bravo ,2.0
San Martín Lachilá ,7.0
Santa Catarina Ticuá,9.0
San Dionisio Ocotepec,70.0
Total estatal,26090.0
Ciénega de Zimatlán ,24.0
Santa María Yucuhiti,42.0
San Pedro Mixtepec,264.0
San Felipe Tejalápam,43.0
San Nicolás Hidalgo ,8.0
San Miguel del Puerto,48.0
Mixistlán de la Reforma ,20.0
Santa Gertrudis ,24.0
Santa María Jalapa del Marqués,83.0
Santo Tomás Tamazulapan,9.0
Calihualá ,6.0
Loma Bonita,337.0
San Baltazar Chichicápam ,20.0
Santa María Chilchotla ,134.0
San Pedro Taviche,2.0
San Bernardo Mixtepec ,27.0
Santa María Camotlán ,23.0
Santiago Comaltepec ,12.0
San Bartolomé Ayautla ,34.0
Santiago Ixtayutla ,58.0
Pluma Hidalgo ,21.0
San Juan Chicomezúchil,3.0
Villa Sola de Vega,80.0
Matías Romero Avendaño ,300.0
Asunción Ixtaltepec,146.0
Santiago Huauclilla,3.0
Santiago Tlazoyaltepec ,35.0
San Lucas Camotlán ,10.0
Guadalupe de Ramírez ,13.0
Santo Domingo Xagacía ,5.0
Santa María Temaxcalapa ,11.0
Santa Ana Ateixtlahuaca ,5.0
San Miguel Yotao ,7.0
Ixpantepec Nieves ,13.0
San Miguel el Grande ,45.0
Candelaria Loxicha ,60.0
Yutanduchi de Guerrero ,6.0
San Marcos Arteaga ,9.0
Santiago Tepetlapa ,2.0
Santa María Chimalapa ,36.0
San Miguel Peras ,24.0
Santiago Yaitepec ,27.0
Ciudad Ixtepec,223.0
Santa María Nativitas ,6.0
Santa María Yavesía ,8.0
San Andrés Yaá ,0.0
Santa María Yolotepec ,1.0
Constancia del Rosario ,23.0
Salina Cruz,552.0
San Mateo Etlatongo ,9.0
San Juan de los Cués,18.0
Santiago Textitlán ,17.0
San Pedro Amuzgos,33.0
Santa Cruz Tayata ,2.0
Santiago Tillo ,2.0
Santiago Tetepec ,30.0
San Juan Comaltepec,8.0
San Pedro Apóstol ,12.0
Santa María Ipalapa ,30.0
San Juan Ñumí,40.0
Santa Catarina Tayata ,6.0
Cuilápam de Guerrero,108.0
Santa María Petapa ,103.0
San Miguel Quetzaltepec,55.0
San Sebastián Nicananduta ,11.0
San Juan Diuxi,12.0
Santa Catarina Ixtepeji ,18.0
Reyes Etla ,34.0
San Pedro Atoyac ,36.0
San Juan del Estado,20.0
San Nicolás ,8.0
San Pablo Etla,64.0
Oaxaca de Juárez,1779.0
Santa María Lachixío ,8.0
San Francisco Ozolotepec ,13.0
San Miguel Chimalapa,34.0
San Juan Cieneguilla,3.0
San Pedro Mártir Quiechapa ,2.0
San Sebastián Río Hondo ,23.0
Santiago Ihuitlán Plumas ,5.0
Santiago Ayuquililla ,19.0
Santa Catarina Lachatao ,15.0
Ayoquezco de Aldama ,31.0
San Miguel Chicahua ,15.0
San Juan Yatzona ,1.0
Nazareno Etla ,20.0
San Pablo Tijaltepec ,16.0
Santa María Huatulco,171.0
San Bartolo Soyaltepec ,7.0
Villa de Tamazulápam del Progreso,44.0
Coatecas Altas ,43.0
San Mateo Nejápam ,7.0
San Pedro Cajonos ,17.0
San Juan Teita,8.0
San Gabriel Mixtepec ,27.0
San Juan Bautista Cuicatlán,80.0
Nejapa de Madero,48.0
Unión Hidalgo,102.0
Santa María Yalina ,6.0
Tepelmeme Villa de Morelos,9.0
Villa Tejúpam de la Unión ,13.0
